ReportedMeasureName,ReportedMeasureCode
Stone/s urinary tract - removal of,MYH-RM0462
Stress incontinence surgery,MYH-RM0463
Sub-mucosal resection,MYH-RM0464
Tendon release,MYH-RM0465
Tenotomy of hip,MYH-RM0466
Thyroglossal remnant - removal of,MYH-RM0467
Thyroidectomy/hemi-thyroidectomy,MYH-RM0468
Toenail surgery,MYH-RM0469
Trabeculectomy,MYH-RM0470
Trigger finger/thumb release,MYH-RM0471
Turbinectomy,MYH-RM0472
Untethering of spinal cord,MYH-RM0473
Ureteric - reimplantation,MYH-RM0474
Ureteric stent - insertion of,MYH-RM0475
Urethra - dilatation of,MYH-RM0476
Vaginal repair - anterior/posterior,MYH-RM0477
Vitrectomy (including buckling/cryotherapy),MYH-RM0478
Paediatric surgery,MYH-RM0480
Abdominal or thoracic aortic aneurysm - repair/replacement,MYH-RM0481
Acromioplasty/arthroscopy shoulder/sub acromial decompression,MYH-RM0482
Adenoidectomy,MYH-RM0483
Amputation of limb,MYH-RM0484
Anal fissure - repair of,MYH-RM0485
Anterior cruciate ligament reconstruction,MYH-RM0486
Arthrodesis,MYH-RM0487
Arthroplasty - revision of,MYH-RM0488
Arthroscopy,MYH-RM0489
Axillary node dissection,MYH-RM0490
Bartholin's abscess drainage,MYH-RM0491
Bartholin's cyst - removal of,MYH-RM0492
Bladder neck incision,MYH-RM0493
Blepharoplasty,MYH-RM0494
Branchial apparatus remnant - removal of,MYH-RM0495
Breast lump - excision and/or biopsy,MYH-RM0496
Breast prosthesis - removal of,MYH-RM0497
Breast reconstruction,MYH-RM0498
Breast reduction,MYH-RM0499
Bunion (hallux valgus) - removal of,MYH-RM0500
Carotid endarterectomy,MYH-RM0501
Carpal tunnel release,MYH-RM0502
Cerebral haematoma - evacuation of,MYH-RM0503
Cervical discectomy and fusion,MYH-RM0504
Chalazion - excision of,MYH-RM0505
Chiari malformation decompression,MYH-RM0506
Circumcision,MYH-RM0507
Cleft lip and palate - repair of,MYH-RM0508
Colectomy/anterior resection/large bowel resection,MYH-RM0509
Common peroneal nerve release,MYH-RM0510
Cone biopsy,MYH-RM0511
Congenital cardiac defect/s - procedure for,MYH-RM0512
Congenital pulmonary lesion - removal of,MYH-RM0513
Corneal graft,MYH-RM0514
Cranioplasty,MYH-RM0515
Craniotomy,MYH-RM0516
Curettage and evacuation of uterus,MYH-RM0517
Cystectomy,MYH-RM0518
Dacryocystorhinostomy,MYH-RM0519
Dermoid cyst - removal of,MYH-RM0520
Dialysis access surgery,MYH-RM0521
Diathermy of wart/s,MYH-RM0522
Discectomy,MYH-RM0523
Dupytren's contracture release,MYH-RM0524
Ectropion - correction of,MYH-RM0525
Endometrial ablation,MYH-RM0526
Epididymal cyst - removal of,MYH-RM0527
Ethmoidectomy,MYH-RM0528
Examination of eye under anaesthesia,MYH-RM0529
Exostosis - excision of,MYH-RM0530
Female sterilisation,MYH-RM0531
Femoro-popliteal bypass graft,MYH-RM0532
Fracture non-union - treatment of,MYH-RM0533
Functional endoscopic sinus surgery,MYH-RM0534
Fundoplication,MYH-RM0535
Ganglion - excision of,MYH-RM0536
Hammer/claw/mallet toe - correction of,MYH-RM0537
Heart valve replacement,MYH-RM0538
Herniorrhaphy,MYH-RM0539
Hydrocele - repair of,MYH-RM0540
Hypospadias - repair of,MYH-RM0541
"Hysteroscopy, dilatation and curettage",MYH-RM0542
Insertion of ventricular peritoneal shunt,MYH-RM0543
Laminectomy,MYH-RM0544
Laparoscopy,MYH-RM0545
Large loop excision of the transformation zone cervix (LLETZ),MYH-RM0546
Laryngectomy,MYH-RM0547
Lingual or maxillary frenulum surgery,MYH-RM0548
Lithotripsy,MYH-RM0549
Lobectomy/wedge resection/pneumonectomy,MYH-RM0550
Lymphangioma - surgery for,MYH-RM0551
Mastectomy,MYH-RM0552
Mastoidectomy,MYH-RM0553
Meatoplasty,MYH-RM0554
Meniscectomy,MYH-RM0555
Microlaryngoscopy,MYH-RM0556
Muscle biopsy/temporal artery biopsy,MYH-RM0557
Muscle or tendon length - change of,MYH-RM0558
Myomectomy,MYH-RM0559
Nasal cautery,MYH-RM0560
Nasal polypectomy,MYH-RM0561
Nasendoscopy,MYH-RM0562
Nephrectomy,MYH-RM0564
Nerve decompression,MYH-RM0565
Nerve decompression of spinal cord,MYH-RM0566
Orchidectomy,MYH-RM0567
Orchidopexy,MYH-RM0568
Osteotomy,MYH-RM0569
Parathyroidectomy,MYH-RM0570
Parotidectomy/submandibular gland - excision of,MYH-RM0571
Pectus surgery,MYH-RM0572
Pedicle screw fusion,MYH-RM0573
Pharyngoplasty,MYH-RM0574
Pharynx - excision of,MYH-RM0575
Pilonidal sinus surgery,MYH-RM0576
Pleurodesis,MYH-RM0577
Posterior fossa decompression,MYH-RM0578
Probing of naso-lacrimal duct,MYH-RM0579
Procedure for strabismus (squint repair),MYH-RM0580
Prostate biopsy,MYH-RM0581
Pterygium - excision of,MYH-RM0582
Ptosis - repair of,MYH-RM0583
Pyeloplasty/correction of ureteropelvic junction,MYH-RM0584
Pyogenic granuloma - removal of,MYH-RM0585
Radical neck dissection,MYH-RM0586
Repair of obstructing hiatus hernia,MYH-RM0587
Replacement of aortic aneurysm with bifurcation graft,MYH-RM0588
Removal of intracranial lesion,MYH-RM0589
Rhinoplasty,MYH-RM0590
Rotator cuff - repair of,MYH-RM0591
Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,MYH-RM0592
Scar revision,MYH-RM0593
Shoulder joint replacement,MYH-RM0594
Shoulder reconstruction,MYH-RM0595
Skin lesion - excision of,MYH-RM0596
Stapedectomy,MYH-RM0597
Stone/s urinary tract - removal of,MYH-RM0598
Stress incontinence surgery,MYH-RM0599
Sub-mucosal resection,MYH-RM0600
Tendon release,MYH-RM0601
Tenotomy of hip,MYH-RM0602
Thyroglossal remnant - removal of,MYH-RM0603
Thyroidectomy/hemi-thyroidectomy,MYH-RM0604
Toenail surgery,MYH-RM0605
Trabeculectomy,MYH-RM0606
Trigger finger/thumb release,MYH-RM0607
Turbinectomy,MYH-RM0608
Untethering of spinal cord,MYH-RM0609
Ureteric - reimplantation,MYH-RM0610
Ureteric stent - insertion of,MYH-RM0611
Urethra - dilatation of,MYH-RM0612
Vaginal repair - anterior/posterior,MYH-RM0613
Vitrectomy (including buckling/cryotherapy),MYH-RM0614
Paediatric surgery,MYH-RM0616
Abdominal or thoracic aortic aneurysm - repair/replacement,MYH-RM0617
Acromioplasty/arthroscopy shoulder/sub acromial decompression,MYH-RM0618
Adenoidectomy,MYH-RM0619
Amputation of limb,MYH-RM0620
Anal fissure - repair of,MYH-RM0621
Anterior cruciate ligament reconstruction,MYH-RM0622
Arthrodesis,MYH-RM0623
Arthroplasty - revision of,MYH-RM0624
Arthroscopy,MYH-RM0625
Axillary node dissection,MYH-RM0626
Bartholin's abscess drainage,MYH-RM0627
Bartholin's cyst - removal of,MYH-RM0628
Bladder neck incision,MYH-RM0629
Blepharoplasty,MYH-RM0630
Branchial apparatus remnant - removal of,MYH-RM0631
Breast lump - excision and/or biopsy,MYH-RM0632
Breast prosthesis - removal of,MYH-RM0633
Breast reconstruction,MYH-RM0634
Breast reduction,MYH-RM0635
Bunion (hallux valgus) - removal of,MYH-RM0636
Carotid endarterectomy,MYH-RM0637
Carpal tunnel release,MYH-RM0638
Cerebral haematoma - evacuation of,MYH-RM0639
Cervical discectomy and fusion,MYH-RM0640
Chalazion - excision of,MYH-RM0641
Chiari malformation decompression,MYH-RM0642
Circumcision,MYH-RM0643
Cleft lip and palate - repair of,MYH-RM0644
Colectomy/anterior resection/large bowel resection,MYH-RM0645
Common peroneal nerve release,MYH-RM0646
Cone biopsy,MYH-RM0647
Congenital cardiac defect/s - procedure for,MYH-RM0648
Congenital pulmonary lesion - removal of,MYH-RM0649
Corneal graft,MYH-RM0650
Cranioplasty,MYH-RM0651
Craniotomy,MYH-RM0652
Curettage and evacuation of uterus,MYH-RM0653
Cystectomy,MYH-RM0654
Dacryocystorhinostomy,MYH-RM0655
Dermoid cyst - removal of,MYH-RM0656
Dialysis access surgery,MYH-RM0657
Diathermy of wart/s,MYH-RM0658
Discectomy,MYH-RM0659
Dupytren's contracture release,MYH-RM0660
Ectropion - correction of,MYH-RM0661
Endometrial ablation,MYH-RM0662
Epididymal cyst - removal of,MYH-RM0663
Ethmoidectomy,MYH-RM0664
Examination of eye under anaesthesia,MYH-RM0665
Exostosis - excision of,MYH-RM0666
Female sterilisation,MYH-RM0667
Femoro-popliteal bypass graft,MYH-RM0668
Fracture non-union - treatment of,MYH-RM0669
Functional endoscopic sinus surgery,MYH-RM0670
Fundoplication,MYH-RM0671
Ganglion - excision of,MYH-RM0672
Hammer/claw/mallet toe - correction of,MYH-RM0673
Heart valve replacement,MYH-RM0674
Herniorrhaphy,MYH-RM0675
Hydrocele - repair of,MYH-RM0676
Hypospadias - repair of,MYH-RM0677
"Hysteroscopy, dilatation and curettage",MYH-RM0678
Insertion of ventricular peritoneal shunt,MYH-RM0679
Laminectomy,MYH-RM0680
Laparoscopy,MYH-RM0681
Large loop excision of the transformation zone cervix (LLETZ),MYH-RM0682
Laryngectomy,MYH-RM0683
Lingual or maxillary frenulum surgery,MYH-RM0684
Lithotripsy,MYH-RM0685
Lobectomy/wedge resection/pneumonectomy,MYH-RM0686
Lymphangioma - surgery for,MYH-RM0687
Mastectomy,MYH-RM0688
Mastoidectomy,MYH-RM0689
Meatoplasty,MYH-RM0690
Meniscectomy,MYH-RM0691
Microlaryngoscopy,MYH-RM0692
Muscle biopsy/temporal artery biopsy,MYH-RM0693
Muscle or tendon length - change of,MYH-RM0694
Myomectomy,MYH-RM0695
Nasal cautery,MYH-RM0696
Nasal polypectomy,MYH-RM0697
Nasendoscopy,MYH-RM0698
Nephrectomy,MYH-RM0700
Nerve decompression,MYH-RM0701
Nerve decompression of spinal cord,MYH-RM0702
Orchidectomy,MYH-RM0703
Orchidopexy,MYH-RM0704
Osteotomy,MYH-RM0705
Parathyroidectomy,MYH-RM0706
Parotidectomy/submandibular gland - excision of,MYH-RM0707
Pectus surgery,MYH-RM0708
Pedicle screw fusion,MYH-RM0709
Pharyngoplasty,MYH-RM0710
Pharynx - excision of,MYH-RM0711
Pilonidal sinus surgery,MYH-RM0712
Pleurodesis,MYH-RM0713
Posterior fossa decompression,MYH-RM0714
Probing of naso-lacrimal duct,MYH-RM0715
Procedure for strabismus (squint repair),MYH-RM0716
Prostate biopsy,MYH-RM0717
Pterygium - excision of,MYH-RM0718
Ptosis - repair of,MYH-RM0719
Pyeloplasty/correction of ureteropelvic junction,MYH-RM0720
Pyogenic granuloma - removal of,MYH-RM0721
Radical neck dissection,MYH-RM0722
Repair of obstructing hiatus hernia,MYH-RM0723
Replacement of aortic aneurysm with bifurcation graft,MYH-RM0724
Removal of intracranial lesion,MYH-RM0725
Rhinoplasty,MYH-RM0726
Rotator cuff - repair of,MYH-RM0727
Salpingo-oophorectomy/oophorectomy/ovarian cystectomy,MYH-RM0728
Scar revision,MYH-RM0729
Shoulder joint replacement,MYH-RM0730
Shoulder reconstruction,MYH-RM0731
Skin lesion - excision of,MYH-RM0732
Stapedectomy,MYH-RM0733
Stone/s urinary tract - removal of,MYH-RM0734
Stress incontinence surgery,MYH-RM0735
Sub-mucosal resection,MYH-RM0736
Tendon release,MYH-RM0737
Tenotomy of hip,MYH-RM0738
Thyroglossal remnant - removal of,MYH-RM0739
Thyroidectomy/hemi-thyroidectomy,MYH-RM0740
Toenail surgery,MYH-RM0741
Trabeculectomy,MYH-RM0742
Trigger finger/thumb release,MYH-RM0743
Turbinectomy,MYH-RM0744
Untethering of spinal cord,MYH-RM0745
Ureteric - reimplantation,MYH-RM0746
Ureteric stent - insertion of,MYH-RM0747
Urethra - dilatation of,MYH-RM0748
Vaginal repair - anterior/posterior,MYH-RM0749
Vitrectomy (including buckling/cryotherapy),MYH-RM0750
Paediatric surgery,MYH-RM0752
Other acute (emergency),MYH-RM0753
Other acute (non-emergency),MYH-RM0754
Rehabilitation,MYH-RM0755
Palliative,MYH-RM0756
Other subacute and non-acute,MYH-RM0757
Acute admitted patients,MYH-RM0273
Acute admitted patients,MYH-RM0275
Acute admitted patients,MYH-RM0284
Cost per NWAU Comparison to Peer Average,MYH-RM0285
Obstetric services,MYH-RM0760
Paediatric service,MYH-RM0761
Psychiatric unit,MYH-RM0762
Intensive care unit,MYH-RM0763
Hospice care unit,MYH-RM0764
Nursing home care unit,MYH-RM0765
Geriatric assessment unit,MYH-RM0766
Domiciliary care service,MYH-RM0767
Alcohol and drug unit,MYH-RM0768
Acute spinal cord injury unit,MYH-RM0769
Coronary care unit,MYH-RM0770
Cardiac surgery unit,MYH-RM0771
Acute renal dialysis unit,MYH-RM0772
Maintenance renal dialysis unit,MYH-RM0773
Burns unit,MYH-RM0774
Major plastic or reconstructive surgery unit,MYH-RM0775
Oncology unit,MYH-RM0776
Neonatal intensive care unit,MYH-RM0777
In-vitro fertilisation unit,MYH-RM0778
Epilepsy centre,MYH-RM0779
Bone marrow transplantation unit,MYH-RM0780
Renal transplantation unit,MYH-RM0781
Heart transplantation unit,MYH-RM0782
Liver transplantation unit,MYH-RM0783
Pancreas transplantation unit,MYH-RM0784
Clinical genetics unit,MYH-RM0785
Sleep centre,MYH-RM0786
Neurosurgical unit,MYH-RM0787
Infectious diseases unit,MYH-RM0788
AIDS unit,MYH-RM0789
Diabetes unit,MYH-RM0790
Rehabilitation unit,MYH-RM0791
Myringotomy (without insertion of grommets),MYH-RM0792
Pressure equalising tubes (grommets) - insertion of,MYH-RM0793
Myringotomy (without insertion of grommets),MYH-RM0794
Pressure equalising tubes (grommets) - insertion of,MYH-RM0795
Myringotomy (without insertion of grommets),MYH-RM0796
Pressure equalising tubes (grommets) - insertion of,MYH-RM0797
Neonatal surgery,MYH-RM0427
Neonatal surgery,MYH-RM0563
Neonatal surgery,MYH-RM0699
Methicillin-resistant staphylococcus aureus,MYH-RM0799
Methicillin-sensitive staphylococcus aureus,MYH-RM0798
All audited moments,MYH-RM0208
All audited moments,MYH-RM0209
Other procedure,MYH-RM0479
Other procedure,MYH-RM0615
Other procedure,MYH-RM0751
Clinical pharmacology and/or toxicology service,MYH-RM0800
